username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
heroin_barbie;2017-09-15 17:40;0;1;"do i need to get all the screenshots out?";;;;"908807718349279232";https://twitter.com/heroin_barbie/status/908807718349279232
716Glitch;2017-09-15 17:39;11;15;"Cop sees u dealing heroin . U try to hit cop w/car. U lead cop on 80+ mph chase. Cop sees u reach for gun. U get shot. #JasonStockley";;;#JasonStockley;"908807444549292032";https://twitter.com/716Glitch/status/908807444549292032
highbybeech;2017-09-15 17:28;3;8;"Best lfl songs: White mustang Get free Love Heroin imf Cherry Gbaaatbwii Sb Gl Lfl Change Bpbp Tnc 13 beaches Wtwwawwkd Cwimm";;;;"908804833615994880";https://twitter.com/highbybeech/status/908804833615994880
TribLIVE;2017-09-15 17:05;1;0;"“He promised he would help get me off heroin ,” said Mangol, a Highlands High School graduate and mother of two. http:// triblive.com/local/valleyne wsdispatch/12735705-74/alleged-victim-of-kidnapping-torture-recounts-last-weekends-ordeal-in-arnold …";;;;"908799056335564801";https://twitter.com/TribLIVE/status/908799056335564801
VNDNews;2017-09-15 17:05;3;5;"“He promised he would help get me off heroin ,” said Mangol, a Highlands High School graduate and mother of two. http:// triblive.com/local/valleyne wsdispatch/12735705-74/alleged-victim-of-kidnapping-torture-recounts-last-weekends-ordeal-in-arnold …";;;;"908799056243281922";https://twitter.com/VNDNews/status/908799056243281922
kwd63122;2017-09-15 16:40;2;1;"Get real. He did his job, he doesn't need to go explain anything to anybody. Maybe his family can explain why he's a heroin dealer.";;;;"908792596385984513";https://twitter.com/kwd63122/status/908792596385984513
panamadeezo;2017-09-15 16:38;0;0;"I liked a @YouTube video http:// youtu.be/4Au9_hfoTiQ?a Heroin Dealers Get Busted Flaunting Their Drug Money On Instagram";;@YouTube;;"908792222287630341";https://twitter.com/panamadeezo/status/908792222287630341
TommmyBear;2017-09-15 16:30;2;11;"if deleting tweets is anything like heroin , then i totally get it";;;;"908790212234444800";https://twitter.com/TommmyBear/status/908790212234444800
Lauren011965;2017-09-15 16:19;0;1;"Lamar smith was a heroin dealer and a thug running from police. He would be alive if he wasn't a criminal. Play with fire and get burned";;;;"908787276595040256";https://twitter.com/Lauren011965/status/908787276595040256
CrazyHoosier11;2017-09-15 16:12;0;0;"Justice is one thing, crying over the death of a drug dealer, especially one supplying heroin to school kids? I don't get that! Crazy";;;;"908785562580082688";https://twitter.com/CrazyHoosier11/status/908785562580082688
grimcheddar;2017-09-15 16:01;0;1;"yeah all you'd have to do is dye your hair black and get a crippling heroin addiction";;;;"908782768565489666";https://twitter.com/grimcheddar/status/908782768565489666
cmpokc;2017-09-15 15:50;2;8;"Perhaps if you don't raise your children to be heroin dealers, they won't get killed. #Shockleyverdict https:// twitter.com/NARAL/status/9 08772208188821504 …";;;#Shockleyverdict;"908780161679581184";https://twitter.com/cmpokc/status/908780161679581184
ChristopherSTV;2017-09-15 15:35;0;2;"Yeah, I mostly get by on Irn-Bru, deep-fried Mars Bars and heroin .";;;;"908776190508445702";https://twitter.com/ChristopherSTV/status/908776190508445702
MMcgilliam;2017-09-15 15:02;0;0;"If anyone has seen heroin dealers before they're armed to the teeth because junkies will do whatever it takes to get a fix.";;;;"908767971975335937";https://twitter.com/MMcgilliam/status/908767971975335937
